Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"Tipo Documento",E1A0D597-209C-7F84-5A3C-C20C1F182BD7,139,,15D0C915-1F28-500A-714D-832CEA56EFE1,75,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,CEE8FD41-7F81-52FE-EFE7-5540511ACCD5,166,"CLIENTE",,F,"Crear cuenta",2,,,,,
"Tipo Documento1",F60E082C-F282-9B2D-EC1B-C71E24E96B67,140,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,BD49EDC3-0F19-3DCC-50E4-80B2A0E6FB39,168,"OPERACIÓN BANCARIA",,F,"operación gerencial",10,,,,,
"Tipo Documento1",D0417787-F8CE-5605-C03C-2CC9C98094F0,141,,573B950C-A117-2EB0-DFCB-DFFC5991E2B0,87,N,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,BD3A0478-56BA-D527-70D1-1C40D51A5807,161,"USUARIO",,F,"AdminBancAndes crea cuentas",12,,,,,
"Valor Cuota",91BDB0A4-A356-5C1C-712D-72B966C8CAAD,142,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,7,,,,,
"Valor Total ",607F1915-6625-1D9D-9F7B-E47A37F65354,143,,E5D4D3B7-8D59-7218-A3F7-8CAFB6EC4E3E,84,N,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"PRESTAMO",,,,3,,,,,
"Id3",C9EBEADA-8164-355A-CE17-60053A383D40,144,,03D26B84-3CA9-83D5-C2B1-227E9CD469DA,81,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,BC5170D7-2704-236C-3D22-930406D96AA9,167,"OPERACIÓN BANCARIA",,F,"ejecuta el trámite bancatrio",12,,,,,
"Id1",CB0D6146-B3DE-2A82-DCC9-C2501AE340D8,145,,36375F7F-A052-FE6E-3B16-A538ABC1AC13,86,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,BC5170D7-2704-236C-3D22-930406D96AA9,167,"PUNTO ATENCIÓN",,F,"ejecuta el trámite bancatrio",3,,,,,
"Documento Identidad",43F422E4-BE24-15F6-1231-64E15001DD80,146,,3B90C286-EE7E-771B-3279-F7A1AECDED58,83,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,EF6C622F-714A-C26D-6F2B-A593A2BB04F1,175,"PORTAL WEB",,F,"va para solicitar",2,,,,,
"Tipo Documento",DCB06B4F-B561-E145-FDB0-EBDAC125EB5D,147,,3B90C286-EE7E-771B-3279-F7A1AECDED58,83,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,EF6C622F-714A-C26D-6F2B-A593A2BB04F1,175,"PORTAL WEB",,F,"va para solicitar",3,,,,,
"Documento Identidad",4FCFF9ED-829D-0D09-D82F-A8FF8276D309,148,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,77788660-0A0D-A4B6-B0F4-D53574C15E6F,174,"OFICINA",P,F,"va a ",7,,,,,
"Tipo Documento",3A2994E0-CADF-E086-0C80-61CF737987F0,149,,A95D90EB-1EC1-4B44-15E1-7DAA1CADAC24,80,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,77788660-0A0D-A4B6-B0F4-D53574C15E6F,174,"OFICINA",P,F,"va a ",8,,,,,
"Documento Identidad1",69C12F51-A9BB-728F-8A14-AE93A1FE6308,150,,15D0C915-1F28-500A-714D-832CEA56EFE1,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,BDEFCC3E-E9BE-EC78-B8F2-28970881835C,164,"CLIENTE",,F,"atiende a",3,,,,,
"Tipo Documento1",BE69CDED-6711-796E-B6A2-EC04AE7CFE85,151,,15D0C915-1F28-500A-714D-832CEA56EFE1,75,Y,Logical Type,,,,,DOM3000004,1,A3A3C77D-0366-9768-FF89-1C25E56881C8,68,,,,,,,,,N,,String,,,,,,BDEFCC3E-E9BE-EC78-B8F2-28970881835C,164,"CLIENTE",,F,"atiende a",4,,,,,
